date,hosp,incid_hosp,rea,incid_rea,rad,incid_rad,pos,pos_7j,tx_pos,tx_incid,TO,pop,P,T,Ti,Tp,Td,incid_dchosp
2020-05-13,21009.0,543.0,2385.0,69.0,58664.0,943.0,901.0,901.0,2.26,1.34,0.47153024911032,67114992.0,901.0,39846.0,1.34,2.26,59.37,105.0
2020-05-14,20401.0,542.0,2256.0,52.0,59596.0,970.0,1015.0,1916.0,2.31,2.85,0.446026097271649,67114992.0,1015.0,43174.0,1.51,2.35,64.33,126.0
2020-05-15,19801.0,438.0,2162.0,64.0,60439.0,892.0,1044.0,2960.0,2.26,4.41,0.427441676551997,67114992.0,1044.0,48381.0,1.56,2.16,72.09,120.0
2020-05-16,19372.0,350.0,2091.0,46.0,61057.0,652.0,292.0,3252.0,2.21,4.85,0.413404507710558,67114992.0,292.0,16664.0,0.44,1.75,24.83,78.0
2020-05-17,19302.0,152.0,2047.0,24.0,61204.0,159.0,142.0,3394.0,2.21,5.06,0.404705417160933,67114992.0,142.0,6651.0,0.21,2.14,9.91,54.0
2020-05-18,18956.0,375.0,1958.0,38.0,61719.0,548.0,1120.0,4514.0,2.21,6.73,0.387109529458284,67114992.0,1120.0,51898.0,1.67,2.16,77.33,123.0
2020-05-19,18409.0,506.0,1854.0,69.0,62554.0,882.0,1057.0,5571.0,2.17,8.3,0.366548042704626,67114992.0,1057.0,53367.0,1.57,1.98,79.52,140.0
2020-05-20,17882.0,432.0,1754.0,43.0,63345.0,823.0,1058.0,5728.0,2.12,8.53,0.346777382364571,67114992.0,1058.0,53688.0,1.58,1.97,79.99,102.0
2020-05-21,17527.0,271.0,1708.0,28.0,63849.0,530.0,194.0,4907.0,2.07,7.31,0.337682878608146,67114992.0,194.0,9775.0,0.29,1.98,14.56,58.0
2020-05-22,17327.0,263.0,1664.0,36.0,64200.0,373.0,827.0,4690.0,1.95,6.99,0.328983788058521,67114992.0,827.0,50917.0,1.23,1.62,75.87,75.0
2020-05-23,17122.0,233.0,1628.0,30.0,64538.0,361.0,266.0,4664.0,1.92,6.95,0.321866350336101,67114992.0,266.0,19107.0,0.4,1.39,28.47,47.0
2020-05-24,17129.0,121.0,1618.0,24.0,64608.0,80.0,146.0,4668.0,1.92,6.96,0.319889284302096,67114992.0,146.0,7249.0,0.22,2.01,10.8,36.0
2020-05-25,16742.0,342.0,1572.0,45.0,65190.0,609.0,709.0,4257.0,1.75,6.34,0.31079478054567,67114992.0,709.0,51943.0,1.06,1.36,77.39,93.0
2020-05-26,16209.0,318.0,1519.0,37.0,65870.0,718.0,774.0,3974.0,1.63,5.92,0.300316330565441,67114992.0,774.0,54120.0,1.15,1.43,80.64,92.0
2020-05-27,15627.0,271.0,1467.0,32.0,66575.0,736.0,729.0,3645.0,1.54,5.43,0.290035587188612,67114992.0,729.0,46753.0,1.09,1.56,69.66,67.0
