,fra,jour,pop,P,T,Ti,Tp,Td,cl_age90
0,FR,2020-05-13,"67114992,00","901,00","39846,00","1,34","2,26","59,37",0
1,FR,2020-05-14,"67114992,00","1015,00","43174,00","1,51","2,35","64,33",0
2,FR,2020-05-15,"67114992,00","1044,00","48381,00","1,56","2,16","72,09",0
3,FR,2020-05-16,"67114992,00","292,00","16664,00","0,44","1,75","24,83",0
4,FR,2020-05-17,"67114992,00","142,00","6651,00","0,21","2,14","9,91",0
5,FR,2020-05-18,"67114992,00","1120,00","51898,00","1,67","2,16","77,33",0
6,FR,2020-05-19,"67114992,00","1057,00","53367,00","1,57","1,98","79,52",0
7,FR,2020-05-20,"67114992,00","1058,00","53688,00","1,58","1,97","79,99",0
8,FR,2020-05-21,"67114992,00","194,00","9775,00","0,29","1,98","14,56",0
9,FR,2020-05-22,"67114992,00","827,00","50917,00","1,23","1,62","75,87",0
10,FR,2020-05-23,"67114992,00","266,00","19107,00","0,40","1,39","28,47",0
11,FR,2020-05-24,"67114992,00","146,00","7249,00","0,22","2,01","10,80",0
12,FR,2020-05-25,"67114992,00","709,00","51943,00","1,06","1,36","77,39",0
13,FR,2020-05-26,"67114992,00","774,00","54120,00","1,15","1,43","80,64",0
14,FR,2020-05-27,"67114992,00","729,00","46753,00","1,09","1,56","69,66",0
15,FR,2020-05-28,"67114992,00","642,00","44713,00","0,96","1,44","66,62",0
16,FR,2020-05-29,"67114992,00","597,00","49630,00","0,89","1,20","73,95",0
17,FR,2020-05-30,"67114992,00","372,00","20343,00","0,55","1,83","30,31",0
18,FR,2020-05-31,"67114992,00","189,00","8562,00","0,28","2,21","12,76",0
19,FR,2020-06-01,"67114992,00","171,00","10055,00","0,25","1,70","14,98",0
20,FR,2020-06-02,"67114992,00","723,00","49107,00","1,08","1,47","73,17",0
21,FR,2020-06-03,"67114992,00","659,00","44970,00","0,98","1,47","67,00",0
22,FR,2020-06-04,"67114992,00","622,00","41595,00","0,93","1,50","61,98",0
23,FR,2020-06-05,"67114992,00","561,00","46761,00","0,84","1,20","69,67",0
24,FR,2020-06-06,"67114992,00","296,00","19726,00","0,44","1,50","29,39",0
25,FR,2020-06-07,"67114992,00","138,00","7592,00","0,21","1,82","11,31",0
26,FR,2020-06-08,"67114992,00","561,00","45380,00","0,84","1,24","67,62",0
27,FR,2020-06-09,"67114992,00","574,00","43945,00","0,86","1,31","65,48",0
28,FR,2020-06-10,"67114992,00","562,00","40711,00","0,84","1,38","60,66",0
29,FR,2020-06-11,"67114992,00","624,00","38814,00","0,93","1,61","57,83",0
30,FR,2020-06-12,"67114992,00","613,00","44577,00","0,91","1,38","66,42",0
31,FR,2020-06-13,"67114992,00","217,00","19229,00","0,32","1,13","28,65",0
32,FR,2020-06-14,"67114992,00","133,00","6676,00","0,20","1,99","9,95",0
33,FR,2020-06-15,"67114992,00","500,00","43907,00","0,74","1,14","65,42",0
34,FR,2020-06-16,"67114992,00","570,00","43063,00","0,85","1,32","64,16",0
35,FR,2020-06-17,"67114992,00","748,00","40189,00","1,11","1,86","59,88",0
36,FR,2020-06-18,"67114992,00","578,00","37967,00","0,86","1,52","56,57",0
37,FR,2020-06-19,"67114992,00","699,00","46056,00","1,04","1,52","68,62",0
38,FR,2020-06-20,"67114992,00","351,00","21740,00","0,52","1,61","32,39",0
39,FR,2020-06-21,"67114992,00","113,00","6523,00","0,17","1,73","9,72",0
40,FR,2020-06-22,"67114992,00","602,00","48506,00","0,90","1,24","72,27",0
41,FR,2020-06-23,"67114992,00","660,00","48447,00","0,98","1,36","72,19",0
42,FR,2020-06-24,"67114992,00","672,00","45653,00","1,00","1,47","68,02",0
43,FR,2020-06-25,"67114992,00","510,00","39965,00","0,76","1,28","59,55",0
44,FR,2020-06-26,"67114992,00","579,00","51333,00","0,86","1,13","76,49",0
45,FR,2020-06-27,"67114992,00","338,00","24670,00","0,50","1,37","36,76",0
46,FR,2020-06-28,"67114992,00","214,00","8244,00","0,32","2,60","12,28",0
47,FR,2020-06-29,"67114992,00","675,00","61815,00","1,01","1,09","92,10",0
48,FR,2020-06-30,"67114992,00","730,00","59781,00","1,09","1,22","89,07",0
49,FR,2020-07-01,"67114992,00","633,00","57321,00","0,94","1,10","85,41",0
50,FR,2020-07-02,"67114992,00","591,00","54985,00","0,88","1,07","81,93",0
51,FR,2020-07-03,"67114992,00","750,00","64398,00","1,12","1,16","95,95",0
52,FR,2020-07-04,"67114992,00","352,00","29230,00","0,52","1,20","43,55",0
53,FR,2020-07-05,"67114992,00","103,00","8549,00","0,15","1,20","12,74",0
54,FR,2020-07-06,"67114992,00","681,00","67145,00","1,01","1,01","100,04",0
55,FR,2020-07-07,"67114992,00","572,00","66313,00","0,85","0,86","98,81",0
56,FR,2020-07-08,"67114992,00","709,00","65196,00","1,06","1,09","97,14",0
57,FR,2020-07-09,"67114992,00","710,00","68831,00","1,06","1,03","102,56",0
58,FR,2020-07-10,"67114992,00","859,00","77240,00","1,28","1,11","115,09",0
59,FR,2020-07-11,"67114992,00","357,00","32656,00","0,53","1,09","48,66",0
60,FR,2020-07-12,"67114992,00","118,00","8532,00","0,18","1,38","12,71",0
61,FR,2020-07-13,"67114992,00","887,00","80812,00","1,32","1,10","120,41",0
62,FR,2020-07-14,"67114992,00","186,00","12403,00","0,28","1,50","18,48",0
63,FR,2020-07-15,"67114992,00","860,00","80331,00","1,28","1,07","119,69",0
64,FR,2020-07-16,"67114992,00","978,00","84534,00","1,46","1,16","125,95",0
65,FR,2020-07-17,"67114992,00","965,00","94271,00","1,44","1,02","140,46",0
66,FR,2020-07-18,"67114992,00","445,00","40730,00","0,66","1,09","60,69",0
67,FR,2020-07-19,"67114992,00","192,00","12303,00","0,29","1,56","18,33",0
68,FR,2020-07-20,"67114992,00","1035,00","93126,00","1,54","1,11","138,76",0
69,FR,2020-07-21,"67114992,00","1100,00","89316,00","1,64","1,23","133,08",0
70,FR,2020-07-22,"67114992,00","1176,00","89288,00","1,75","1,32","133,04",0
71,FR,2020-07-23,"67114992,00","1155,00","88362,00","1,72","1,31","131,66",0
72,FR,2020-07-24,"67114992,00","1283,00","96205,00","1,91","1,33","143,34",0
73,FR,2020-07-25,"67114992,00","627,00","43401,00","0,93","1,44","64,67",0
74,FR,2020-07-26,"67114992,00","264,00","14993,00","0,39","1,76","22,34",0
75,FR,2020-07-27,"67114992,00","1429,00","103290,00","2,13","1,38","153,90",0
76,FR,2020-07-28,"67114992,00","1368,00","104059,00","2,04","1,31","155,05",0
77,FR,2020-07-29,"67114992,00","1479,00","108089,00","2,20","1,37","161,05",0
78,FR,2020-07-30,"67114992,00","1555,00","105735,00","2,32","1,47","157,54",0
79,FR,2020-07-31,"67114992,00","1642,00","110217,00","2,45","1,49","164,22",0
80,FR,2020-08-01,"67114992,00","794,00","47672,00","1,18","1,67","71,03",0
81,FR,2020-08-02,"67114992,00","250,00","16527,00","0,37","1,51","24,62",0
82,FR,2020-08-03,"67114992,00","2026,00","113448,00","3,02","1,79","169,04",0
83,FR,2020-08-04,"67114992,00","2015,00","106732,00","3,00","1,89","159,03",0
84,FR,2020-08-05,"67114992,00","1966,00","106583,00","2,93","1,84","158,81",0
85,FR,2020-08-06,"67114992,00","2165,00","109853,00","3,23","1,97","163,68",0
86,FR,2020-08-07,"67114992,00","2310,00","112146,00","3,44","2,06","167,10",0
87,FR,2020-08-08,"67114992,00","1009,00","49809,00","1,50","2,03","74,21",0
88,FR,2020-08-09,"67114992,00","444,00","17140,00","0,66","2,59","25,54",0
89,FR,2020-08-10,"67114992,00","2858,00","116916,00","4,26","2,44","174,20",0
90,FR,2020-08-11,"67114992,00","2698,00","106644,00","4,02","2,53","158,90",0
91,FR,2020-08-12,"67114992,00","2899,00","111743,00","4,32","2,59","166,49",0
92,FR,2020-08-13,"67114992,00","3552,00","121169,00","5,29","2,93","180,54",0
93,FR,2020-08-14,"67114992,00","3885,00","132857,00","5,79","2,92","197,95",0
94,FR,2020-08-15,"67114992,00","772,00","26855,00","1,15","2,87","40,01",0
95,FR,2020-08-16,"67114992,00","689,00","22105,00","1,03","3,12","32,94",0
96,FR,2020-08-17,"67114992,00","5038,00","154361,00","7,51","3,26","229,99",0
97,FR,2020-08-18,"67114992,00","4751,00","145410,00","7,08","3,27","216,66",0
98,FR,2020-08-19,"67114992,00","4868,00","145203,00","7,25","3,35","216,35",0
99,FR,2020-08-20,"67114992,00","5139,00","153890,00","7,66","3,34","229,29",0
100,FR,2020-08-21,"67114992,00","5132,00","164861,00","7,65","3,11","245,64",0
101,FR,2020-08-22,"67114992,00","2239,00","69472,00","3,34","3,22","103,51",0
102,FR,2020-08-23,"67114992,00","1012,00","23602,00","1,51","4,29","35,17",0
103,FR,2020-08-24,"67114992,00","6982,00","187210,00","10,40","3,73","278,94",0
104,FR,2020-08-25,"67114992,00","6836,00","177738,00","10,19","3,85","264,83",0
105,FR,2020-08-26,"67114992,00","6713,00","182074,00","10,00","3,69","271,29",0
106,FR,2020-08-27,"67114992,00","7445,00","195160,00","11,09","3,81","290,78",0
107,FR,2020-08-28,"67114992,00","7645,00","201715,00","11,39","3,79","300,55",0
108,FR,2020-08-29,"67114992,00","3050,00","84919,00","4,54","3,59","126,53",0
109,FR,2020-08-30,"67114992,00","1316,00","27784,00","1,96","4,74","41,40",0
110,FR,2020-08-31,"67114992,00","9499,00","219626,00","14,15","4,33","327,24",0
111,FR,2020-09-01,"67114992,00","8877,00","196228,00","13,23","4,52","292,38",0
112,FR,2020-09-02,"67114992,00","9082,00","195224,00","13,53","4,65","290,88",0
113,FR,2020-09-03,"67114992,00","9766,00","203273,00","14,55","4,80","302,87",0
114,FR,2020-09-04,"67114992,00","10102,00","217625,00","15,05","4,64","324,26",0
115,FR,2020-09-05,"67114992,00","4055,00","93227,00","6,04","4,35","138,91",0
116,FR,2020-09-06,"67114992,00","1473,00","28464,00","2,19","5,17","42,41",0
117,FR,2020-09-07,"67114992,00","12264,00","244276,00","18,27","5,02","363,97",0
118,FR,2020-09-08,"67114992,00","11671,00","241312,00","17,39","4,84","359,55",0
119,FR,2020-09-09,"67114992,00","11340,00","237370,00","16,90","4,78","353,68",0
120,FR,2020-09-10,"67114992,00","12063,00","251255,00","17,97","4,80","374,36",0
121,FR,2020-09-11,"67114992,00","11295,00","260566,00","16,83","4,33","388,24",0
122,FR,2020-09-12,"67114992,00","4503,00","101947,00","6,71","4,42","151,90",0
123,FR,2020-09-13,"67114992,00","1570,00","29142,00","2,34","5,39","43,42",0
124,FR,2020-09-14,"67114992,00","14753,00","275472,00","21,98","5,36","410,45",0
125,FR,2020-09-15,"67114992,00","13535,00","265946,00","20,17","5,09","396,25",0
126,FR,2020-09-16,"67114992,00","13465,00","247194,00","20,06","5,45","368,31",0
127,FR,2020-09-17,"67114992,00","13763,00","244165,00","20,51","5,64","363,80",0
128,FR,2020-09-18,"67114992,00","13306,00","244482,00","19,83","5,44","364,27",0
129,FR,2020-09-19,"67114992,00","5223,00","94929,00","7,78","5,50","141,44",0
130,FR,2020-09-20,"67114992,00","1808,00","29836,00","2,69","6,06","44,46",0
131,FR,2020-09-21,"67114992,00","15656,00","243068,00","23,33","6,44","362,17",0
132,FR,2020-09-22,"67114992,00","14234,00","219126,00","21,21","6,50","326,49",0
133,FR,2020-09-23,"67114992,00","13008,00","202566,00","19,38","6,42","301,82",0
134,FR,2020-09-24,"67114992,00","12736,00","203441,00","18,98","6,26","303,12",0
135,FR,2020-09-25,"67114992,00","12289,00","209746,00","18,31","5,86","312,52",0
136,FR,2020-09-26,"67114992,00","4810,00","84890,00","7,17","5,67","126,48",0
137,FR,2020-09-27,"67114992,00","1391,00","23343,00","2,07","5,96","34,78",0
138,FR,2020-09-28,"67114992,00","13736,00","218618,00","20,47","6,28","325,74",0
139,FR,2020-09-29,"67114992,00","12800,00","195962,00","19,07","6,53","291,98",0
140,FR,2020-09-30,"67114992,00","13353,00","187834,00","19,90","7,11","279,87",0
141,FR,2020-10-01,"67114992,00","14651,00","191783,00","21,83","7,64","285,75",0
142,FR,2020-10-02,"67114992,00","16212,00","205988,00","24,16","7,87","306,92",0
143,FR,2020-10-03,"67114992,00","7235,00","89137,00","10,78","8,12","132,81",0
144,FR,2020-10-04,"67114992,00","1986,00","25102,00","2,96","7,91","37,40",0
145,FR,2020-10-05,"67114992,00","21460,00","235426,00","31,97","9,12","350,78",0
146,FR,2020-10-06,"67114992,00","19677,00","213581,00","29,32","9,21","318,23",0
147,FR,2020-10-07,"67114992,00","20736,00","209922,00","30,90","9,88","312,78",0
148,FR,2020-10-08,"67114992,00","22560,00","226364,00","33,61","9,97","337,28",0
149,FR,2020-10-09,"67114992,00","24088,00","253782,00","35,89","9,49","378,13",0
150,FR,2020-10-10,"67114992,00","11333,00","112292,00","16,89","10,09","167,31",0
151,FR,2020-10-11,"67114992,00","3235,00","31674,00","4,82","10,21","47,19",0
152,FR,2020-10-12,"67114992,00","31731,00","292300,00","47,28","10,86","435,52",0
153,FR,2020-10-13,"67114992,00","28601,00","270090,00","42,61","10,59","402,43",0
154,FR,2020-10-14,"67114992,00","28815,00","273498,00","42,93","10,54","407,51",0
155,FR,2020-10-15,"67114992,00","32043,00","294280,00","47,74","10,89","438,47",0
156,FR,2020-10-16,"67114992,00","33625,00","314914,00","50,10","10,68","469,22",0
157,FR,2020-10-17,"67114992,00","15307,00","137657,00","22,81","11,12","205,11",0
158,FR,2020-10-18,"67114992,00","4708,00","39293,00","7,01","11,98","58,55",0
159,FR,2020-10-19,"67114992,00","45304,00","346473,00","67,50","13,08","516,24",0
160,FR,2020-10-20,"67114992,00","44374,00","313269,00","66,12","14,16","466,76",0
161,FR,2020-10-21,"67114992,00","46771,00","321839,00","69,69","14,53","479,53",0
162,FR,2020-10-22,"67114992,00","51137,00","347557,00","76,19","14,71","517,85",0
163,FR,2020-10-23,"67114992,00","55394,00","378514,00","82,54","14,63","563,98",0
164,FR,2020-10-24,"67114992,00","25167,00","162158,00","37,50","15,52","241,61",0
165,FR,2020-10-25,"67114992,00","7329,00","46107,00","10,92","15,90","68,70",0
166,FR,2020-10-26,"67114992,00","68787,00","418403,00","102,49","16,44","623,41",0
167,FR,2020-10-27,"67114992,00","61563,00","376319,00","91,73","16,36","560,71",0
168,FR,2020-10-28,"67114992,00","56947,00","367991,00","84,85","15,48","548,30",0
169,FR,2020-10-29,"67114992,00","56206,00","377079,00","83,75","14,91","561,84",0
170,FR,2020-10-30,"67114992,00","58610,00","401775,00","87,33","14,59","598,64",0
171,FR,2020-10-31,"67114992,00","26293,00","172355,00","39,18","15,26","256,81",0
172,FR,2020-11-01,"67114992,00","6985,00","45714,00","10,41","15,28","68,11",0
173,FR,2020-11-02,"67114992,00","70130,00","436110,00","104,49","16,08","649,80",0
174,FR,2020-11-03,"67114992,00","59119,00","383162,00","88,09","15,43","570,90",0
175,FR,2020-11-04,"67114992,00","50145,00","354407,00","74,72","14,15","528,06",0
176,FR,2020-11-05,"67114992,00","46948,00","368576,00","69,95","12,74","549,17",0
177,FR,2020-11-06,"67114992,00","45032,00","376728,00","67,10","11,95","561,32",0
178,FR,2020-11-07,"67114992,00","17956,00","147226,00","26,75","12,20","219,36",0
179,FR,2020-11-08,"67114992,00","4384,00","34823,00","6,53","12,59","51,89",0
180,FR,2020-11-09,"67114992,00","47679,00","390610,00","71,04","12,21","582,00",0
181,FR,2020-11-10,"67114992,00","37435,00","350406,00","55,78","10,68","522,10",0
182,FR,2020-11-11,"67114992,00","5388,00","50687,00","8,03","10,63","75,52",0
183,FR,2020-11-12,"67114992,00","36546,00","360575,00","54,45","10,14","537,25",0
184,FR,2020-11-13,"67114992,00","28954,00","309492,00","43,14","9,36","461,14",0
185,FR,2020-11-14,"67114992,00","11009,00","115550,00","16,40","9,53","172,17",0
186,FR,2020-11-15,"67114992,00","2713,00","26588,00","4,04","10,20","39,62",0
187,FR,2020-11-16,"67114992,00","30360,00","312277,00","45,24","9,72","465,29",0
188,FR,2020-11-17,"67114992,00","21824,00","258595,00","32,52","8,44","385,30",0
189,FR,2020-11-18,"67114992,00","17377,00","215410,00","25,89","8,07","320,96",0
190,FR,2020-11-19,"67114992,00","16848,00","236995,00","25,10","7,11","353,12",0
191,FR,2020-11-20,"67114992,00","16266,00","247003,00","24,24","6,59","368,03",0
192,FR,2020-11-21,"67114992,00","7256,00","105562,00","10,81","6,87","157,29",0
193,FR,2020-11-22,"67114992,00","1842,00","24612,00","2,74","7,48","36,67",0
194,FR,2020-11-23,"67114992,00","17770,00","257772,00","26,48","6,89","384,08",0
195,FR,2020-11-24,"67114992,00","13750,00","214425,00","20,49","6,41","319,49",0
196,FR,2020-11-25,"67114992,00","12649,00","194953,00","18,85","6,49","290,48",0
197,FR,2020-11-26,"67114992,00","12542,00","208277,00","18,69","6,02","310,33",0
198,FR,2020-11-27,"67114992,00","12463,00","220722,00","18,57","5,65","328,87",0
199,FR,2020-11-28,"67114992,00","6081,00","99538,00","9,06","6,11","148,31",0
200,FR,2020-11-29,"67114992,00","1610,00","23778,00","2,40","6,77","35,43",0
201,FR,2020-11-30,"67114992,00","15873,00","239380,00","23,65","6,63","356,67",0
202,FR,2020-12-01,"67114992,00","12404,00","199702,00","18,48","6,21","297,55",0
203,FR,2020-12-02,"67114992,00","11555,00","180961,00","17,22","6,39","269,63",0
204,FR,2020-12-03,"67114992,00","12045,00","200355,00","17,95","6,01","298,52",0
205,FR,2020-12-04,"67114992,00","12567,00","218862,00","18,72","5,74","326,10",0
206,FR,2020-12-05,"67114992,00","6585,00","105223,00","9,81","6,26","156,78",0
207,FR,2020-12-06,"67114992,00","1754,00","26391,00","2,61","6,65","39,32",0
208,FR,2020-12-07,"67114992,00","16747,00","257445,00","24,95","6,51","383,59",0
209,FR,2020-12-08,"67114992,00","13258,00","225406,00","19,75","5,88","335,85",0
210,FR,2020-12-09,"67114992,00","12744,00","207141,00","18,99","6,15","308,64",0
211,FR,2020-12-10,"67114992,00","13568,00","226602,00","20,22","5,99","337,63",0
212,FR,2020-12-11,"67114992,00","14095,00","252528,00","21,00","5,58","376,26",0
213,FR,2020-12-12,"67114992,00","7850,00","133191,00","11,70","5,89","198,45",0
214,FR,2020-12-13,"67114992,00","2049,00","34380,00","3,05","5,96","51,23",0
215,FR,2020-12-14,"67114992,00","19700,00","329843,00","29,35","5,97","491,46",0
216,FR,2020-12-15,"67114992,00","15948,00","314189,00","23,76","5,08","468,14",0
217,FR,2020-12-16,"67114992,00","15406,00","337155,00","22,95","4,57","502,35",0
218,FR,2020-12-17,"67114992,00","15883,00","399389,00","23,67","3,98","595,08",0
219,FR,2020-12-18,"67114992,00","17501,00","507466,00","26,08","3,45","756,11",0
220,FR,2020-12-19,"67114992,00","10684,00","336158,00","15,92","3,18","500,87",0
221,FR,2020-12-20,"67114992,00","3673,00","118152,00","5,47","3,11","176,04",0
222,FR,2020-12-21,"67114992,00","21291,00","679808,00","31,72","3,13","1012,90",0
223,FR,2020-12-22,"67114992,00","18338,00","741916,00","27,32","2,47","1105,44",0
224,FR,2020-12-23,"67114992,00","16836,00","734870,00","25,09","2,29","1094,94",0
225,FR,2020-12-24,"67114992,00","12986,00","506023,00","19,35","2,57","753,96",0
226,FR,2020-12-25,"67114992,00","1306,00","38774,00","1,95","3,37","57,77",0
227,FR,2020-12-26,"67114992,00","9762,00","222824,00","14,55","4,38","332,00",0
228,FR,2020-12-27,"67114992,00","2097,00","48018,00","3,12","4,37","71,55",0
229,FR,2020-12-28,"67114992,00","22064,00","397772,00","32,87","5,55","592,67",0
230,FR,2020-12-29,"67114992,00","19540,00","366152,00","29,11","5,34","545,56",0
231,FR,2020-12-30,"67114992,00","19204,00","399605,00","28,61","4,81","595,40",0
232,FR,2020-12-31,"67114992,00","15552,00","337240,00","23,17","4,61","502,48",0
233,FR,2021-01-01,"67114992,00","1518,00","33243,00","2,26","4,57","49,53",0
234,FR,2021-01-02,"67114992,00","13402,00","229988,00","19,97","5,83","342,68",0
235,FR,2021-01-03,"67114992,00","2818,00","47184,00","4,20","5,97","70,30",0
236,FR,2021-01-04,"67114992,00","27821,00","427677,00","41,45","6,51","637,23",0
237,FR,2021-01-05,"67114992,00","22102,00","344243,00","32,93","6,42","512,92",0
238,FR,2021-01-06,"67114992,00","19483,00","313035,00","29,03","6,22","466,42",0
239,FR,2021-01-07,"67114992,00","18762,00","326650,00","27,96","5,74","486,70",0
240,FR,2021-01-08,"67114992,00","19401,00","350050,00","28,91","5,54","521,57",0
241,FR,2021-01-09,"67114992,00","10923,00","188864,00","16,28","5,78","281,40",0
242,FR,2021-01-10,"67114992,00","2577,00","42292,00","3,84","6,09","63,01",0
243,FR,2021-01-11,"67114992,00","26079,00","396990,00","38,86","6,57","591,51",0
244,FR,2021-01-12,"67114992,00","20326,00","337676,00","30,29","6,02","503,13",0
245,FR,2021-01-13,"67114992,00","19839,00","312634,00","29,56","6,35","465,82",0
246,FR,2021-01-14,"67114992,00","19961,00","322459,00","29,74","6,19","480,46",0
247,FR,2021-01-15,"67114992,00","20902,00","350057,00","31,14","5,97","521,58",0
248,FR,2021-01-16,"67114992,00","11827,00","198410,00","17,62","5,96","295,63",0
249,FR,2021-01-17,"67114992,00","2840,00","44625,00","4,23","6,36","66,49",0
250,FR,2021-01-18,"67114992,00","29124,00","397211,00","43,39","7,33","591,84",0
251,FR,2021-01-19,"67114992,00","22712,00","336837,00","33,84","6,74","501,88",0
252,FR,2021-01-20,"67114992,00","21500,00","320321,00","32,03","6,71","477,27",0
253,FR,2021-01-21,"67114992,00","21873,00","339952,00","32,59","6,43","506,52",0
254,FR,2021-01-22,"67114992,00","22825,00","382375,00","34,01","5,97","569,73",0
255,FR,2021-01-23,"67114992,00","12815,00","201359,00","19,09","6,36","300,02",0
256,FR,2021-01-24,"67114992,00","2755,00","42569,00","4,10","6,47","63,43",0
257,FR,2021-01-25,"67114992,00","29853,00","431084,00","44,48","6,93","642,31",0
258,FR,2021-01-26,"67114992,00","22208,00","359225,00","33,09","6,18","535,24",0
259,FR,2021-01-27,"67114992,00","21130,00","339931,00","31,48","6,22","506,49",0
260,FR,2021-01-28,"67114992,00","22402,00","384772,00","33,38","5,82","573,30",0
261,FR,2021-01-29,"67114992,00","23074,00","414048,00","34,38","5,57","616,92",0
262,FR,2021-01-30,"67114992,00","12880,00","216831,00","19,19","5,94","323,07",0
263,FR,2021-01-31,"67114992,00","3146,00","44487,00","4,69","7,07","66,28",0
264,FR,2021-02-01,"67114992,00","30047,00","441449,00","44,77","6,81","657,75",0
265,FR,2021-02-02,"67114992,00","22767,00","384709,00","33,92","5,92","573,21",0
266,FR,2021-02-03,"67114992,00","20728,00","350163,00","30,88","5,92","521,74",0
267,FR,2021-02-04,"67114992,00","20715,00","378764,00","30,86","5,47","564,35",0
268,FR,2021-02-05,"67114992,00","21471,00","422411,00","31,99","5,08","629,38",0
269,FR,2021-02-06,"67114992,00","12102,00","222151,00","18,03","5,45","331,00",0
270,FR,2021-02-07,"67114992,00","2613,00","43400,00","3,89","6,02","64,67",0
271,FR,2021-02-08,"67114992,00","25689,00","427520,00","38,28","6,01","637,00",0
272,FR,2021-02-09,"67114992,00","19810,00","379446,00","29,52","5,22","565,37",0
273,FR,2021-02-10,"67114992,00","18267,00","345339,00","27,22","5,29","514,55",0
274,FR,2021-02-11,"67114992,00","17491,00","363234,00","26,06","4,82","541,21",0
275,FR,2021-02-12,"67114992,00","18542,00","403086,00","27,63","4,60","600,59",0
276,FR,2021-02-13,"67114992,00","10755,00","216217,00","16,02","4,97","322,16",0
277,FR,2021-02-14,"67114992,00","2593,00","42757,00","3,86","6,06","63,71",0
278,FR,2021-02-15,"67114992,00","24973,00","420372,00","37,21","5,94","626,35",0
279,FR,2021-02-16,"67114992,00","19744,00","361077,00","29,42","5,47","538,00",0
280,FR,2021-02-17,"67114992,00","19701,00","338411,00","29,35","5,82","504,23",0
281,FR,2021-02-18,"67114992,00","20501,00","362650,00","30,55","5,65","540,34",0
282,FR,2021-02-19,"67114992,00","22274,00","404777,00","33,19","5,50","603,11",0
283,FR,2021-02-20,"67114992,00","12532,00","215475,00","18,67","5,82","321,05",0
284,FR,2021-02-21,"67114992,00","3040,00","43534,00","4,53","6,98","64,86",0
285,FR,2021-02-22,"67114992,00","29166,00","407118,00","43,46","7,16","606,60",0
286,FR,2021-02-23,"67114992,00","22187,00","344320,00","33,06","6,44","513,03",0
287,FR,2021-02-24,"67114992,00","21055,00","328995,00","31,37","6,40","490,20",0
288,FR,2021-02-25,"67114992,00","21028,00","344600,00","31,33","6,10","513,45",0
289,FR,2021-02-26,"67114992,00","21612,00","390031,00","32,20","5,54","581,14",0
290,FR,2021-02-27,"67114992,00","12621,00","206631,00","18,81","6,11","307,88",0
291,FR,2021-02-28,"67114992,00","2948,00","44447,00","4,39","6,63","66,23",0
292,FR,2021-03-01,"67114992,00","27426,00","404395,00","40,86","6,78","602,54",0
293,FR,2021-03-02,"67114992,00","21160,00","337625,00","31,53","6,27","503,05",0
294,FR,2021-03-03,"67114992,00","20461,00","320471,00","30,49","6,38","477,50",0
295,FR,2021-03-04,"67114992,00","20500,00","345262,00","30,54","5,94","514,43",0
296,FR,2021-03-05,"67114992,00","21919,00","396004,00","32,66","5,54","590,04",0
297,FR,2021-03-06,"67114992,00","13703,00","214087,00","20,42","6,40","318,99",0
298,FR,2021-03-07,"67114992,00","3153,00","46265,00","4,70","6,82","68,93",0
299,FR,2021-03-08,"67114992,00","29339,00","427894,00","43,71","6,86","637,55",0
300,FR,2021-03-09,"67114992,00","23646,00","370741,00","35,23","6,38","552,40",0
301,FR,2021-03-10,"67114992,00","23807,00","346285,00","35,47","6,87","515,96",0
302,FR,2021-03-11,"67114992,00","24632,00","410761,00","36,70","6,00","612,03",0
